,Datetime,Region,Technology,Tech category,Value
394,2042,reg1,Electrochemical_ST,Storage,0.6070000000000011
395,2043,reg1,Electrochemical_ST,Storage,0.6069999999999993
396,2044,reg1,Electrochemical_ST,Storage,0.6070000000000013
397,2045,reg1,Electrochemical_ST,Storage,0.6069999999999991
398,2046,reg1,Electrochemical_ST,Storage,0.9000000000000004
399,2047,reg1,Electrochemical_ST,Storage,0.8999999999999997
400,2048,reg1,Electrochemical_ST,Storage,0.9000000000000001
401,2049,reg1,Electrochemical_ST,Storage,0.9000000000000004
402,2050,reg1,Electrochemical_ST,Storage,0.8999999999999997
403,2020,reg1,SMR,Conversion,0.0
404,2021,reg1,SMR,Conversion,0.07694008064592738
405,2022,reg1,SMR,Conversion,0.15922235258914613
406,2023,reg1,SMR,Conversion,0.24150462453232469
407,2024,reg1,SMR,Conversion,0.32378689647550374
408,2025,reg1,SMR,Conversion,0.4060691684186821
409,2026,reg1,SMR,Conversion,0.4883514403618612
410,2027,reg1,SMR,Conversion,0.5706337123050389
411,2028,reg1,SMR,Conversion,0.6529159842482211
412,2029,reg1,SMR,Conversion,0.7351982561913948
413,2030,reg1,SMR,Conversion,0.8174805281345756
414,2031,reg1,SMR,Conversion,0.8997628000777491
415,2032,reg1,SMR,Conversion,0.9820450720209415
416,2033,reg1,SMR,Conversion,1.0643273439641048
417,2034,reg1,SMR,Conversion,1.1466096159072903
418,2035,reg1,SMR,Conversion,1.2288918878504758
419,2036,reg1,SMR,Conversion,1.3111741597936426
420,2037,reg1,SMR,Conversion,1.393456431736829
421,2038,reg1,SMR,Conversion,1.4757387036799905
422,2039,reg1,SMR,Conversion,1.5580209756231804
423,2040,reg1,SMR,Conversion,1.6403032475663606
424,2041,reg1,SMR,Conversion,1.7225855195095674
425,2042,reg1,SMR,Conversion,1.8048677914527014
426,2043,reg1,SMR,Conversion,1.8871500633959002
427,2044,reg1,SMR,Conversion,1.9694323353390724
428,2045,reg1,SMR,Conversion,2.051714607282288
429,2046,reg1,SMR,Conversion,2.1339968792254
430,2047,reg1,SMR,Conversion,2.216279151168642
431,2048,reg1,SMR,Conversion,2.2985614231117575
432,2049,reg1,SMR,Conversion,2.380843695054991
433,2050,reg1,SMR,Conversion,2.463125966998142
434,2020,reg1,SFF_PP,Conversion,0.0
435,2021,reg1,SFF_PP,Conversion,0.0
436,2022,reg1,SFF_PP,Conversion,0.0
437,2023,reg1,SFF_PP,Conversion,0.0
438,2024,reg1,SFF_PP,Conversion,0.0
439,2025,reg1,SFF_PP,Conversion,0.0
440,2026,reg1,SFF_PP,Conversion,0.0
441,2027,reg1,SFF_PP,Conversion,0.0
442,2028,reg1,SFF_PP,Conversion,0.0
443,2029,reg1,SFF_PP,Conversion,0.0
444,2030,reg1,SFF_PP,Conversion,0.0
445,2031,reg1,SFF_PP,Conversion,0.0
446,2032,reg1,SFF_PP,Conversion,0.0
447,2033,reg1,SFF_PP,Conversion,0.0
448,2034,reg1,SFF_PP,Conversion,0.0
449,2035,reg1,SFF_PP,Conversion,0.0
450,2036,reg1,SFF_PP,Conversion,0.0
451,2037,reg1,SFF_PP,Conversion,0.0
